LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01034492,16.5,15.1,41.3,27.2
E01020740,17.3,16.6,40.7,25.3
E01020741,16.6,21,41.7,20.7
E01020742,19.9,16.5,38.9,24.8
E01020782,11.4,12.1,38.3,38.3
E01020783,15.8,15.3,38.6,30.6
E01020784,16.2,14.2,39.2,30.4
E01020743,25.7,21.5,38.3,14.4
E01020747,22.6,21.3,32.8,23.2
E01020748,21.9,20.4,40.2,17.4
E01020749,8.7,11.4,32.2,47.8
E01020773,16.1,15.4,36.5,31.9
E01020775,20.8,17.4,36.6,24.9
E01020776,12.8,14.4,37.6,35.1
E01033161,18.2,15.6,44.5,21.7
E01033198,17.4,19.8,41.1,21.8
E01033205,16.6,14.9,41.9,26.6
E01033206,18.2,18.7,42.5,20.7
E01020751,17.5,14.7,43.1,24.8
E01020752,17.9,16.3,41.1,24.6
E01020754,13.6,13,36.8,36.4
E01020756,15.5,16.2,39.6,28.7
E01020745,16.5,18.4,37.1,28.1
E01020753,15.5,16.2,36.4,31.8
E01020757,21.6,20.9,36.9,20.7
E01020758,21.8,20.4,38.9,18.9
E01020759,25,21,40.5,13.4
E01020765,21.3,18.6,38.9,21.2
E01020760,15.9,18.5,39.2,26.4
E01020761,21.9,20.4,38.7,18.9
E01020762,18.7,17.1,39.5,24.7
E01020763,16.4,14.3,41.8,27.7
E01020764,14.4,15.7,38.5,31.3
E01020766,13.1,11.9,34.5,40.6
E01020767,16.5,18.6,37.5,27.4
E01020768,16.5,17.8,39.9,25.8
E01020733,19.9,20.8,36.4,22.8
E01020734,22.4,18.4,37.6,21.5
E01020735,17,19.8,40.7,22.4
E01020770,17,17,40.1,25.7
E01020771,18,16,39.6,26.6
E01020780,19.1,18.8,38.2,23.8
E01020746,10.3,14.5,37.7,37.4
E01020769,18.1,19.4,38,24.5
E01020777,17.9,18.7,38.1,25.2
E01020778,12,15.7,34.4,38
E01020779,9.7,15,38.6,36.9
E01020737,13.9,13.7,36,36.5
E01020739,13.6,13.5,38.4,34.8
E01020744,17.8,16.3,36.9,28.8
E01034500,13,14.7,37.9,34.5
E01020788,14,17.6,40,28.4
E01020789,15.7,15.9,38.9,29.6
E01020790,17,20.9,38,24.4
E01020791,18.6,12.1,42,27.2
E01020792,18.8,17.5,39.2,24.6
E01020772,15.3,14,41.5,29.2
E01020793,20.4,16.2,39.6,23.7
E01020794,15.4,19,40.9,24.5
E01020795,18.4,18,40.3,23.4
E01020817,13.2,11.2,37.1,38.5
E01020818,14,14.2,34.9,36.7
E01020819,18.4,17.5,39.3,24.4
E01020837,9.8,12.5,36.1,41.5
E01020843,12,13.1,40,34.9
E01020809,18.9,16.7,39.3,25.2
E01020810,14.1,15.7,44,26
E01020811,17.5,18,40.6,23.9
E01020812,15.5,16.2,38.6,29.9
E01020827,16.8,15.7,36,31.4
E01020806,16.3,15.9,33.3,34.5
E01020807,19.6,18.2,39.9,22.3
E01020820,19.5,18,40.2,22.5
E01034501,20,19.4,37.9,22.6
E01034502,24.1,20.7,46.9,8
E01020797,15.4,13.4,38,33.3
E01020798,14.6,13.8,34.9,36.5
E01020799,16.6,16.3,39.8,27.4
E01020808,14.6,13.7,35.6,36.2
E01020821,16.1,16.9,41.5,25.4
E01020822,14.7,16.3,38.8,30.2
E01020823,15.4,19,35.5,30.1
E01020835,14.3,17.6,40,28.3
E01034503,21.6,15.4,44.8,18
E01034504,19.6,17.3,41.7,21.6
E01020805,16.9,15.7,36.8,30.5
E01034505,13.6,16.3,41.3,29
E01034506,17.1,18.1,41.7,23.1
E01034507,15.4,20.5,41.5,22.6
E01034508,14.5,18.7,43.8,23.1
E01020796,14.1,14,40.1,31.9
E01020828,13.6,11.5,35.1,39.6
E01020829,15.7,13.5,40.7,29.9
E01020830,15.9,12.4,39.9,31.8
E01020801,12.9,15.2,40.1,32
E01020802,13.2,16.1,40.4,30.3
E01020838,17.5,14,41.7,26.7
E01020839,15.9,15.9,36.7,31.6
E01020840,19.8,18.3,39.1,22.7
