LSOA code,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household
E01027389,49.08062235,19.94342291,5.799151344,25.17680339
E01027390,52.64705882,20.39215686,8.039215686,18.92156863
E01027391,44.79338843,24.29752066,8.099173554,22.80991736
E01027392,39.61248654,15.50053821,5.382131324,39.50484392
E01027393,44.75873544,16.80532446,3.660565724,34.77537438
E01027394,52.35404896,21.46892655,3.389830508,22.78719397
E01027395,41.62042175,28.63485017,5.993340733,23.75138735
E01027396,45.25547445,19.89051095,6.386861314,28.46715328
E01027397,47.31707317,18.53658537,4.390243902,29.75609756
E01027398,45.49600912,24.4013683,5.017103763,25.08551881
E01027399,45.56113903,35.34338358,8.542713568,10.55276382
E01027400,33.67768595,44.00826446,16.52892562,5.785123967
E01027401,32.9588015,45.88014981,16.47940075,4.68164794
E01027402,33.74233129,43.35378323,17.99591002,4.90797546
E01027403,40.99378882,38.92339545,12.21532091,7.867494824
E01027404,48.81209503,35.85313175,7.127429806,8.207343413
E01027405,51.27388535,26.91082803,9.554140127,12.2611465
E01027406,55.62913907,22.01986755,7.119205298,15.23178808
E01027407,54.18006431,23.31189711,4.823151125,17.68488746
E01027408,47.16157205,19.65065502,4.22125182,28.96652111
E01027409,47.58713137,19.70509383,4.959785523,27.74798928
E01027410,42.57274119,32.92496172,14.5482389,9.954058193
E01027411,45.44,15.52,4.16,34.88
E01027412,39.49394939,25.30253025,6.050605061,29.15291529
E01027413,46.49681529,23.88535032,6.475583864,23.14225053
E01027414,42.65625,19.53125,5.625,32.1875
E01027415,34.66135458,13.14741036,3.984063745,48.20717131
E01027416,31.51595745,10.37234043,2.393617021,55.71808511
E01027417,46.06413994,30.32069971,11.2244898,12.39067055
E01027418,42.08494208,30.88803089,12.0978121,14.92921493
E01027419,43.30708661,25.85301837,6.430446194,24.40944882
E01027420,42.42424242,33.33333333,9.764309764,14.47811448
E01027421,44.30727023,20.98765432,6.035665295,28.66941015
E01027422,41.94341943,17.95817958,4.30504305,35.79335793
E01027423,48.79614767,16.85393258,4.173354735,30.17656501
E01027424,40.60529634,17.65447667,3.530895334,38.20933165
E01027426,40.97135741,30.0124533,5.853051059,23.16313823
